Date,NetEvap,Sal,NetEvap_mmd
01/01/1900 00:00,-9.15E-08,0,7.9052
02/01/1900 00:00,-8.63E-08,0,7.4595
03/01/1900 00:00,-8.79E-08,0,7.5979
04/01/1900 00:00,-7.13E-08,0,6.1594
05/01/1900 00:00,-6.25E-08,0,5.3968
06/01/1900 00:00,-7.50E-08,0,6.4825
07/01/1900 00:00,-6.70E-08,0,5.7881
08/01/1900 00:00,-6.08E-08,0,5.251
09/01/1900 00:00,-6.57E-08,0,5.6763
10/01/1900 00:00,1.09E-08,0,-0.9425
11/01/1900 00:00,-3.71E-08,0,3.2019
12/01/1900 00:00,-6.04E-08,0,5.2154
13/01/1900 00:00,-7.04E-08,0,6.0809
14/01/1900 00:00,-7.03E-08,0,6.0706
15/01/1900 00:00,-6.97E-08,0,6.0197
16/01/1900 00:00,-7.63E-08,0,6.5954
17/01/1900 00:00,-6.23E-08,0,5.3794
18/01/1900 00:00,-6.14E-08,0,5.3052
19/01/1900 00:00,-5.95E-08,0,5.1444
20/01/1900 00:00,-5.46E-08,0,4.7194
21/01/1900 00:00,-5.00E-08,0,4.3219
22/01/1900 00:00,-5.31E-08,0,4.5912
23/01/1900 00:00,-6.42E-08,0,5.544
24/01/1900 00:00,-6.95E-08,0,6.0021
25/01/1900 00:00,-7.31E-08,0,6.3138
26/01/1900 00:00,-7.30E-08,0,6.306
27/01/1900 00:00,-8.17E-08,0,7.0595
28/01/1900 00:00,-6.76E-08,0,5.8379
29/01/1900 00:00,-5.41E-08,0,4.6746
30/01/1900 00:00,-5.19E-08,0,4.4814
31/01/1900 00:00,-6.04E-08,0,5.2169
01/02/1900 00:00,-6.85E-08,0,5.9183
02/02/1900 00:00,-6.71E-08,0,5.7965
03/02/1900 00:00,-7.52E-08,0,6.4965
04/02/1900 00:00,-7.63E-08,0,6.5964
05/02/1900 00:00,-7.61E-08,0,6.5762
06/02/1900 00:00,-8.05E-08,0,6.9595
07/02/1900 00:00,-6.50E-08,0,5.6158
08/02/1900 00:00,-6.63E-08,0,5.7265
09/02/1900 00:00,-7.05E-08,0,6.0951
10/02/1900 00:00,-6.20E-08,0,5.3535
11/02/1900 00:00,-5.12E-08,0,4.4253
12/02/1900 00:00,-6.54E-08,0,5.6535
13/02/1900 00:00,-6.47E-08,0,5.5863
14/02/1900 00:00,-5.98E-08,0,5.169
15/02/1900 00:00,-6.40E-08,0,5.5275
16/02/1900 00:00,-5.81E-08,0,5.0197
17/02/1900 00:00,-5.21E-08,0,4.5
18/02/1900 00:00,-5.66E-08,0,4.8936
19/02/1900 00:00,-5.83E-08,0,5.0362
20/02/1900 00:00,-5.49E-08,0,4.744
21/02/1900 00:00,-5.53E-08,0,4.7785
22/02/1900 00:00,-5.61E-08,0,4.8479
23/02/1900 00:00,-6.13E-08,0,5.299
24/02/1900 00:00,-6.40E-08,0,5.5275
25/02/1900 00:00,-6.53E-08,0,5.6401
26/02/1900 00:00,-5.46E-08,0,4.7214
27/02/1900 00:00,-3.47E-08,0,3.0002
28/02/1900 00:00,-3.60E-08,0,3.108
01/03/1900 00:00,2.53E-08,0,-2.183
02/03/1900 00:00,1.96E-08,0,-1.6922
03/03/1900 00:00,-3.94E-08,0,3.4053
04/03/1900 00:00,-5.67E-08,0,4.899
05/03/1900 00:00,-5.26E-08,0,4.5418
06/03/1900 00:00,-3.57E-08,0,3.0834
07/03/1900 00:00,-2.67E-08,0,2.3079
08/03/1900 00:00,-4.44E-08,0,3.8332
09/03/1900 00:00,-5.08E-08,0,4.388
10/03/1900 00:00,-5.32E-08,0,4.6
11/03/1900 00:00,-5.15E-08,0,4.4535
12/03/1900 00:00,-4.84E-08,0,4.1785
13/03/1900 00:00,-5.44E-08,0,4.6961
14/03/1900 00:00,-2.25E-08,0,1.9425
15/03/1900 00:00,1.41E-07,0,-12.2134
16/03/1900 00:00,-4.77E-08,0,4.1236
17/03/1900 00:00,-4.49E-08,0,3.8816
18/03/1900 00:00,-4.16E-08,0,3.5961
19/03/1900 00:00,-3.73E-08,0,3.2213
20/03/1900 00:00,1.79E-08,0,-1.5427
21/03/1900 00:00,-1.33E-08,0,1.1466
22/03/1900 00:00,-3.71E-08,0,3.2061
23/03/1900 00:00,-3.75E-08,0,3.2376
24/03/1900 00:00,7.04E-08,0,-6.0867
25/03/1900 00:00,-2.08E-08,0,1.7965
26/03/1900 00:00,-3.94E-08,0,3.4073
27/03/1900 00:00,-3.47E-08,0,3
28/03/1900 00:00,-3.33E-08,0,2.8752
29/03/1900 00:00,-3.46E-08,0,2.9922
30/03/1900 00:00,-2.81E-08,0,2.4269
31/03/1900 00:00,-3.27E-08,0,2.8282
01/04/1900 00:00,-1.99E-08,0,1.7187
02/04/1900 00:00,2.76E-09,0,-0.2388
03/04/1900 00:00,5.15E-08,0,-4.4538
04/04/1900 00:00,-8.19E-09,0,0.7075
05/04/1900 00:00,-2.60E-08,0,2.248
06/04/1900 00:00,-2.65E-08,0,2.2878
07/04/1900 00:00,-2.89E-08,0,2.4961
08/04/1900 00:00,-3.07E-08,0,2.6535
09/04/1900 00:00,-2.63E-08,0,2.272
10/04/1900 00:00,-1.03E-08,0,0.8909
11/04/1900 00:00,-2.98E-09,0,0.2576
12/04/1900 00:00,-1.75E-08,0,1.5083
13/04/1900 00:00,-1.70E-08,0,1.465
14/04/1900 00:00,2.29E-08,0,-1.9806
15/04/1900 00:00,2.66E-08,0,-2.2993
16/04/1900 00:00,1.25E-07,0,-10.826
17/04/1900 00:00,-1.82E-08,0,1.5721
18/04/1900 00:00,-5.46E-09,0,0.4716
19/04/1900 00:00,-2.48E-08,0,2.1421
20/04/1900 00:00,-2.67E-08,0,2.3093
21/04/1900 00:00,-1.97E-08,0,1.7
22/04/1900 00:00,-5.90E-09,0,0.5101
23/04/1900 00:00,2.71E-08,0,-2.3373
24/04/1900 00:00,-3.35E-09,0,0.2891
25/04/1900 00:00,-1.40E-08,0,1.2098
26/04/1900 00:00,-2.19E-08,0,1.8919
27/04/1900 00:00,-1.50E-08,0,1.2969
28/04/1900 00:00,-1.96E-08,0,1.6918
29/04/1900 00:00,3.51E-08,0,-3.0334
