Month,Year,With all Water,No CEW,No eWater
07,2013, 11.410453,  9.400886, 11.067706
08,2013,266.092151,261.363709,270.823457
09,2013,378.740970,377.216242,381.393725
10,2013,570.490946,552.252315,565.981448
11,2013,199.068228,104.842930,198.568901
12,2013, 92.554134, 23.421882, 92.598609
01,2014, 61.094377,  0.000000, 58.767760
02,2014, 23.251527,  0.000000, 23.671496
03,2014,  0.000000,  0.000000,  0.000000
