Date,A4261034,Goolwa,Mundoo,Boundary Creek,Ewe Island,Tauwitchere,Total
26/11/2016,0.614125,21376.64223,3835.79877,1.178558414,7256.956299,16410.97183,48881.54769
27/11/2016,0.635,21917.61774,3894.721744,1.245404659,7705.414317,17679.93426,51198.93347
28/11/2016,0.62975,17719.01807,3726.196251,1.157497556,7196.471396,17186.05079,45828.89401
29/11/2016,0.609,13633.68373,2663.254394,1.039161005,4813.964291,13677.93149,34789.87307
30/11/2016,0.645375,13789.48657,1916.089659,1.219313372,3994.938358,13451.30527,33153.03917
1/12/2016,0.689708333,7464.978488,1248.413018,1.292546245,4269.963285,17620.22996,30604.8773
2/12/2016,0.719291667,40.30658922,1766.057157,1.728451066,3741.303922,18410.19694,23959.59306
3/12/2016,0.777125,44.707071,32.77703194,3.298906321,4570.104148,22884.78359,27535.67075
4/12/2016,0.789458333,49.27249969,36.05647972,4.275163417,5016.42505,27397.15127,32503.18046
5/12/2016,0.704875,12532.33672,2339.17068,4.016790804,4008.794912,22530.92071,41415.2398
6/12/2016,0.746041667,20298.22231,3191.882313,5.282824672,5231.977659,29087.17751,57814.54261
7/12/2016,0.749125,21830.47972,2459.786107,6.282760055,6098.702839,34546.07111,64941.32254
8/12/2016,0.510125,4911.342588,6.702510931,0.638684666,727.4833031,5451.393943,11097.56103
9/12/2016,0.717291667,24181.01709,2860.002878,7.683775065,4821.416872,30768.48504,62638.60566
10/12/2016,0.736916667,31049.98385,4734.418359,8.744687859,6118.647295,38340.74376,80252.53796
11/12/2016,0.727,32279.43981,4997.146631,8.48366882,6418.329567,39719.00241,83422.40208
12/12/2016,0.694875,30738.23086,4892.502896,8.082084311,6337.268675,42259.84963,84235.93415
13/12/2016,0.674708333,23877.6408,2846.930681,4.206825387,3606.715473,38449.49928,68784.99306
14/12/2016,0.744416667,18370.82087,2107.435513,7.970154876,1935.436927,32032.85447,54454.51793
15/12/2016,0.776416667,27378.65028,3088.021525,8.505762205,4088.313757,43605.24776,78168.73909
16/12/2016,0.728,26525.44825,3498.80035,5.994199828,4967.725266,41863.12727,76861.09534
17/12/2016,0.670791667,20485.34474,2719.079342,5.434486535,3348.40068,27364.74365,53923.0029
18/12/2016,0.781083333,30203.90308,4212.069602,12.41727976,6103.70457,48583.94389,89116.03842
19/12/2016,0.717291667,29041.31736,4230.39522,7.212334016,5832.026959,48755.15729,87866.10917
20/12/2016,0.649916667,25314.874,3543.554174,4.995231402,4384.652239,36075.12653,69323.20217
21/12/2016,0.692708333,30746.73663,4843.689901,9.097475053,5371.962203,43252.01469,84223.5009
22/12/2016,0.678541667,39411.08117,5756.227676,9.318517933,13561.35397,46703.59809,105441.5794
23/12/2016,0.609208333,37565.55264,5340.790153,5.662653327,17121.48333,43677.29822,103710.787
24/12/2016,0.587541667,35872.24483,5201.682466,4.81551127,15512.63658,37393.64795,93985.02735
25/12/2016,0.612875,33688.14972,4846.962391,4.586553002,15394.09656,36920.28143,90854.07666
26/12/2016,0.616625,31617.55093,4693.138058,6.95319291,14904.34902,38988.84401,90210.83522
27/12/2016,0.663,35128.57607,5297.342905,16.29857292,17779.88349,43691.32934,101913.4304
28/12/2016,0.641708333,34468.85487,5423.070596,5.213629195,18847.40422,50887.70016,109632.2435
29/12/2016,0.660541667,25960.43377,3753.070471,6.739554745,12132.97316,35479.50518,77332.72213
30/12/2016,0.702458333,23813.19813,3267.541591,6.922187209,10948.01297,27611.34445,65647.01933
31/12/2016,0.686083333,29303.01005,4084.060222,7.398366727,13306.69543,32753.54166,79454.70573
1/01/2017,0.606125,29082.64101,4094.763156,4.402746206,11183.64311,28312.8757,72678.32572
2/01/2017,0.633958333,34888.96355,5056.933608,6.886427543,15153.29377,31042.99621,86149.07356
3/01/2017,0.615458333,37823.33459,4794.65823,6.140924469,16376.7796,36322.66438,95323.57772
4/01/2017,0.579708333,34589.41077,2149.291092,3.227531762,9404.734228,25316.8315,71463.49512
5/01/2017,0.65025,17522.19443,1211.143902,2.963460592,2904.496635,11999.38839,33640.18682
6/01/2017,0.793291667,7915.340946,1401.933042,6.866065233,1058.871682,11150.40479,21533.41653
7/01/2017,0.787208333,5477.856853,1363.612623,5.021016994,12.84907393,11485.90805,18345.24762
8/01/2017,0.734958333,4545.203364,1145.908261,3.807091485,10.23176633,9473.270305,15178.42079
9/01/2017,0.783416667,4997.48932,1227.863152,5.336109802,11.54299677,10054.96475,16297.19633
10/01/2017,0.755791667,4811.830334,1205.318573,3.361920399,10.74629171,9663.781684,15695.0388
11/01/2017,0.746791667,4549.244259,1130.348282,3.874510574,9.828202798,9139.707486,14833.00274
12/01/2017,0.815708333,5432.484927,1322.9387,6.827196515,12.46928827,10982.84786,17757.56797
13/01/2017,0.670666667,1274.938155,581.1488733,1.406340604,6.868055357,7481.232351,9345.593774
14/01/2017,0.657958333,30.00468723,22.78026149,2.143037105,5.683052677,6150.980103,6211.591142
