FVC file = MER_Scen2_20170701_20200701.fvc, Simulation Execution: 06/12/2020 11:56:13
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.30701346300000E+06, 0.60600016700000E+07, -0.2630068E+02,  0.8005495E+04,  0.1521045E+05,          39,           0,           1,           1
, 0.30683484800000E+06, 0.60600919600000E+07, -0.2533442E+02,  0.8205634E+04,  0.1521045E+05,          38,           0,           1,           1
, 0.30665623300000E+06, 0.60601822500000E+07, -0.2683646E+02,  0.8405772E+04,  0.1521045E+05,          37,           0,           1,           1
, 0.30647761800000E+06, 0.60602725400000E+07, -0.2634583E+02,  0.8605911E+04,  0.1521045E+05,          36,           0,           1,           1
, 0.30629900300000E+06, 0.60603628200000E+07, -0.2578058E+02,  0.8806046E+04,  0.1521045E+05,          35,           0,           1,           1
, 0.30612038800000E+06, 0.60604531100000E+07, -0.2481487E+02,  0.9006185E+04,  0.1521045E+05,          34,           0,           1,           1
, 0.30594177300000E+06, 0.60605434000000E+07, -0.2367833E+02,  0.9206323E+04,  0.1521045E+05,          33,           0,           1,           1
, 0.30576315800000E+06, 0.60606336900000E+07, -0.2500000E+02,  0.9406462E+04,  0.1521045E+05,          32,           0,           1,           1
, 0.30558454400000E+06, 0.60607239700000E+07, -0.2472286E+02,  0.9606596E+04,  0.1521045E+05,          31,           0,           1,           1
, 0.30540592900000E+06, 0.60608142600000E+07, -0.2389145E+02,  0.9806734E+04,  0.1521045E+05,          30,           0,           1,           1
, 0.30522731400000E+06, 0.60609045500000E+07, -0.2363901E+02,  0.1000687E+05,  0.1521045E+05,          29,           0,           1,           1
, 0.30504869900000E+06, 0.60609948400000E+07, -0.2426186E+02,  0.1020701E+05,  0.1521045E+05,          28,           0,           1,           1
, 0.30487008400000E+06, 0.60610851300000E+07, -0.2494998E+02,  0.1040715E+05,  0.1521045E+05,          27,           0,           1,           1
, 0.30469146900000E+06, 0.60611754100000E+07, -0.2479991E+02,  0.1060729E+05,  0.1521045E+05,          26,           0,           1,           1
, 0.30451285400000E+06, 0.60612657000000E+07, -0.2500000E+02,  0.1080742E+05,  0.1521045E+05,          25,           0,           1,           1
, 0.30433429500000E+06, 0.60613561000000E+07, -0.2500000E+02,  0.1100756E+05,  0.1521045E+05,          23,           0,           1,           1
, 0.30415618600000E+06, 0.60614473800000E+07, -0.2513753E+02,  0.1120770E+05,  0.1521045E+05,          22,           0,           1,           1
, 0.30397807700000E+06, 0.60615386600000E+07, -0.2419517E+02,  0.1140784E+05,  0.1521045E+05,          21,           0,           1,           1
, 0.30379996700000E+06, 0.60616299400000E+07, -0.2330764E+02,  0.1160797E+05,  0.1521045E+05,          19,           0,           1,           1
, 0.30362185800000E+06, 0.60617212200000E+07, -0.2300000E+02,  0.1180811E+05,  0.1521045E+05,          18,           0,           1,           1
, 0.30344374900000E+06, 0.60618125000000E+07, -0.2300000E+02,  0.1200825E+05,  0.1521045E+05,          17,           0,           1,           1
, 0.30326563900000E+06, 0.60619037800000E+07, -0.2400000E+02,  0.1220838E+05,  0.1521045E+05,          16,           0,           1,           1
, 0.30308753000000E+06, 0.60619950700000E+07, -0.2400000E+02,  0.1240853E+05,  0.1521045E+05,          15,           0,           1,           1
, 0.30290942100000E+06, 0.60620863500000E+07, -0.2397880E+02,  0.1260866E+05,  0.1521045E+05,          14,           0,           1,           1
, 0.30273131200000E+06, 0.60621776300000E+07, -0.2391520E+02,  0.1280880E+05,  0.1521045E+05,          13,           0,           1,           1
, 0.30255320200000E+06, 0.60622689100000E+07, -0.2400000E+02,  0.1300894E+05,  0.1521045E+05,          12,           0,           1,           1
, 0.30237509300000E+06, 0.60623601900000E+07, -0.2330532E+02,  0.1320907E+05,  0.1521045E+05,          11,           0,           1,           1
, 0.30219698400000E+06, 0.60624514700000E+07, -0.2307376E+02,  0.1340921E+05,  0.1521045E+05,          10,           0,           1,           1
, 0.30201887400000E+06, 0.60625427500000E+07, -0.2202695E+02,  0.1360935E+05,  0.1521045E+05,           8,           0,           1,           1
, 0.30184076500000E+06, 0.60626340300000E+07, -0.2127695E+02,  0.1380949E+05,  0.1521045E+05,           7,           0,           1,           1
, 0.30166265600000E+06, 0.60627253100000E+07, -0.2100000E+02,  0.1400962E+05,  0.1521045E+05,           6,           0,           1,           1
, 0.30148454600000E+06, 0.60628165900000E+07, -0.2188535E+02,  0.1420976E+05,  0.1521045E+05,           5,           0,           1,           1
, 0.30130643700000E+06, 0.60629078800000E+07, -0.2200000E+02,  0.1440990E+05,  0.1521045E+05,           4,           0,           1,           1
, 0.30112832800000E+06, 0.60629991600000E+07, -0.2200000E+02,  0.1461004E+05,  0.1521045E+05,           3,           0,           1,           1
