id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
        8294,  0.3151133E+06,  0.6061937E+07,    15.568,    22.812
        8295,  0.3152084E+06,  0.6061970E+07,     5.004,     6.494
        8296,  0.3151870E+06,  0.6062060E+07,    10.739,    12.920
        8297,  0.3152385E+06,  0.6062012E+07,     4.415,     5.293
        8298,  0.3150628E+06,  0.6061829E+07,    17.379,   159.152
        8299,  0.3151513E+06,  0.6061856E+07,    15.782,    25.876
        8300,  0.3152190E+06,  0.6062104E+07,    10.481,    12.556
        8301,  0.3152686E+06,  0.6062054E+07,     4.237,     4.968
        8302,  0.3150348E+06,  0.6061716E+07,    14.331,    39.728
        8303,  0.3151044E+06,  0.6061745E+07,    15.827,    50.037
        8304,  0.3152510E+06,  0.6062148E+07,    11.082,    13.617
        8305,  0.3152988E+06,  0.6062095E+07,     4.368,     5.157
        8306,  0.3150229E+06,  0.6061593E+07,    13.507,    24.749
        8307,  0.3150950E+06,  0.6061618E+07,    12.524,    23.033
        8308,  0.3151608E+06,  0.6062262E+07,    12.500,    16.364
        8309,  0.3152049E+06,  0.6062204E+07,     5.345,     6.555
        8310,  0.3150025E+06,  0.6061481E+07,    15.799,   165.287
        8311,  0.3150661E+06,  0.6061513E+07,    15.146,    29.593
        8312,  0.3150470E+06,  0.6061404E+07,    14.228,   168.755
        8313,  0.3152068E+06,  0.6062341E+07,    14.511,    20.759
        8314,  0.3152388E+06,  0.6062251E+07,     6.005,     7.918
        8315,  0.3152591E+06,  0.6062465E+07,    13.232,    19.485
        8316,  0.3152887E+06,  0.6062370E+07,    15.655,    21.949
        8317,  0.3127475E+06,  0.6063013E+07,    11.882,   137.350
        8318,  0.3127956E+06,  0.6063034E+07,    17.428,   145.384
        8319,  0.3127043E+06,  0.6063063E+07,    13.306,   138.960
        8320,  0.3017101E+06,  0.6066321E+07,    10.441,    12.761
        8321,  0.3016364E+06,  0.6066308E+07,     3.459,     4.450
        8322,  0.3017195E+06,  0.6066356E+07,     9.932,    11.856
        8323,  0.3016496E+06,  0.6066344E+07,     3.142,     3.805
        8324,  0.3015516E+06,  0.6066209E+07,    13.552,    21.035
        8325,  0.3014737E+06,  0.6066117E+07,    20.826,    29.682
        8326,  0.3015760E+06,  0.6066331E+07,    10.329,    12.652
        8327,  0.3014994E+06,  0.6066304E+07,     3.900,     5.015
        8328,  0.3017290E+06,  0.6066390E+07,     9.959,    11.881
        8329,  0.3016628E+06,  0.6066381E+07,     3.038,     3.610
        8330,  0.3017384E+06,  0.6066425E+07,    10.418,    12.647
        8331,  0.3016760E+06,  0.6066418E+07,     3.100,     3.701
        8332,  0.3017479E+06,  0.6066459E+07,    10.689,    13.409
        8333,  0.3016892E+06,  0.6066455E+07,     3.301,     4.049
        8334,  0.3017573E+06,  0.6066493E+07,    11.085,    14.729
        8335,  0.3017023E+06,  0.6066491E+07,     3.624,     4.688
        8336,  0.3017155E+06,  0.6066528E+07,     4.175,     5.801
        8337,  0.3017743E+06,  0.6066720E+07,    11.400,    18.307
        8338,  0.3018100E+06,  0.6066851E+07,    17.930,  4447.572
        8339,  0.3017514E+06,  0.6066777E+07,    17.587,    38.877
        8340,  0.3017040E+06,  0.6066604E+07,     9.412,    14.245
        8341,  0.3017161E+06,  0.6066719E+07,    10.133,    22.911
        8342,  0.3016877E+06,  0.6066659E+07,    11.730,    20.901
        8343,  0.3017502E+06,  0.6066907E+07,    30.121,  4986.233
        8344,  0.3016605E+06,  0.6066526E+07,     9.553,    12.994
        8345,  0.3016526E+06,  0.6066600E+07,     8.372,    13.459
        8346,  0.3016247E+06,  0.6066568E+07,     5.375,     7.830
        8347,  0.3152771E+06,  0.6062611E+07,    14.277,   136.815
        8348,  0.3153255E+06,  0.6062656E+07,    18.907,  1010.203
        8349,  0.3153403E+06,  0.6062499E+07,    15.474,    24.191
        8350,  0.3153317E+06,  0.6062579E+07,    16.199,    48.269
        8351,  0.3153289E+06,  0.6062137E+07,     4.802,     5.917
        8352,  0.3152829E+06,  0.6062193E+07,    12.466,    16.310
        8353,  0.3152918E+06,  0.6061967E+07,    12.101,    15.204
        8354,  0.3152464E+06,  0.6061890E+07,    15.210,    22.425
        8355,  0.3153462E+06,  0.6061921E+07,     4.591,     6.024
        8356,  0.3153201E+06,  0.6062006E+07,    11.032,    13.370
        8357,  0.3153729E+06,  0.6061958E+07,     4.067,     4.930
