id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       42067,  0.3715336E+06,  0.6008481E+07,     8.604,     9.774
       42068,  0.3716720E+06,  0.6008847E+07,     7.761,     8.725
       42069,  0.3716663E+06,  0.6008795E+07,     8.284,     9.307
       42070,  0.3714960E+06,  0.6008382E+07,    10.449,    11.953
       42071,  0.3717419E+06,  0.6008967E+07,     8.127,     9.186
       42072,  0.3717038E+06,  0.6008913E+07,    10.085,    11.302
       42073,  0.3717909E+06,  0.6009029E+07,    10.663,    12.067
       42074,  0.3718352E+06,  0.6009097E+07,     9.958,    11.424
       42075,  0.3718052E+06,  0.6008926E+07,     8.306,     9.339
       42076,  0.3718467E+06,  0.6008986E+07,    10.257,    11.646
       42077,  0.3719374E+06,  0.6009088E+07,    10.616,    12.434
       42078,  0.3718910E+06,  0.6009054E+07,     8.796,    10.067
       42079,  0.3720220E+06,  0.6009101E+07,    13.064,    15.870
       42080,  0.3721042E+06,  0.6009165E+07,    13.913,    19.929
       42081,  0.3720877E+06,  0.6009096E+07,    13.061,    16.806
       42082,  0.3719439E+06,  0.6009026E+07,    10.564,    12.226
       42083,  0.3720227E+06,  0.6009007E+07,    10.605,    12.551
       42084,  0.3722078E+06,  0.6009207E+07,    16.100,    49.108
       42085,  0.3721880E+06,  0.6009144E+07,    15.914,    24.745
       42086,  0.3723011E+06,  0.6009262E+07,    44.352,  4826.904
       42087,  0.3722410E+06,  0.6009164E+07,    15.820,   139.385
       42088,  0.3723086E+06,  0.6009170E+07,    30.261,  3661.369
       42089,  0.3723821E+06,  0.6009251E+07,    93.752,  4999.137
       42090,  0.3715900E+06,  0.6008327E+07,     9.714,    11.383
       42091,  0.3715593E+06,  0.6008398E+07,    10.208,    11.698
       42092,  0.3706089E+06,  0.6007582E+07,    10.281,    12.144
       42093,  0.3705230E+06,  0.6007580E+07,    12.826,    15.600
       42094,  0.3706741E+06,  0.6007600E+07,    10.301,    11.966
       42095,  0.3707326E+06,  0.6007614E+07,     9.809,    11.232
       42096,  0.3707165E+06,  0.6007559E+07,     9.872,    11.618
       42097,  0.3706204E+06,  0.6007510E+07,    11.521,    14.210
       42098,  0.3706919E+06,  0.6007498E+07,     9.952,    11.911
       42099,  0.3708069E+06,  0.6007630E+07,     9.440,    10.781
       42100,  0.3708999E+06,  0.6007677E+07,     9.209,    10.470
       42101,  0.3708703E+06,  0.6007625E+07,     9.399,    10.625
       42102,  0.3708023E+06,  0.6007522E+07,    10.724,    12.425
       42103,  0.3708384E+06,  0.6007569E+07,     9.385,    10.808
       42104,  0.3710206E+06,  0.6007679E+07,     8.399,     9.546
       42105,  0.3709314E+06,  0.6007616E+07,     9.944,    11.344
       42106,  0.3709950E+06,  0.6007618E+07,     9.344,    10.510
       42107,  0.3713226E+06,  0.6007983E+07,     8.518,     9.569
       42108,  0.3713499E+06,  0.6008072E+07,    11.280,    12.841
       42109,  0.3712777E+06,  0.6007925E+07,    10.310,    11.672
       42110,  0.3712315E+06,  0.6007872E+07,     9.535,    10.688
       42111,  0.3712892E+06,  0.6007866E+07,     8.435,     9.561
       42112,  0.3713825E+06,  0.6007958E+07,     9.448,    10.925
       42113,  0.3714025E+06,  0.6007904E+07,     9.396,    10.958
       42114,  0.3713627E+06,  0.6007856E+07,     9.371,    10.596
       42115,  0.3714339E+06,  0.6008120E+07,    10.728,    12.604
       42116,  0.3714099E+06,  0.6008047E+07,     9.545,    10.921
       42117,  0.3712047E+06,  0.6007768E+07,     8.984,    10.198
       42118,  0.3712766E+06,  0.6007773E+07,    10.852,    12.163
       42119,  0.3715289E+06,  0.6008169E+07,    10.470,    12.738
       42120,  0.3714972E+06,  0.6008091E+07,    10.428,    12.364
       42121,  0.3711233E+06,  0.6007707E+07,    10.723,    12.205
       42122,  0.3712016E+06,  0.6007681E+07,     9.013,    10.077
       42123,  0.3711056E+06,  0.6007640E+07,     9.119,    10.189
       42124,  0.3716121E+06,  0.6008249E+07,     9.544,    11.350
       42125,  0.3715898E+06,  0.6008141E+07,    11.522,    14.017
       42126,  0.3716306E+06,  0.6008191E+07,    12.362,    15.202
       42127,  0.3716555E+06,  0.6008363E+07,     9.458,    10.952
       42128,  0.3716626E+06,  0.6008245E+07,    10.121,    12.091
       42129,  0.3716986E+06,  0.6008300E+07,    10.711,    12.827
       42130,  0.3704516E+06,  0.6007501E+07,    15.173,    20.945
       42131,  0.3705344E+06,  0.6007509E+07,    12.808,    16.323
       42132,  0.3703865E+06,  0.6007416E+07,    18.538,  1386.888
       42133,  0.3704681E+06,  0.6007427E+07,    14.181,    23.264
       42134,  0.3703316E+06,  0.6007328E+07,    83.513,  4998.581
       42135,  0.3704063E+06,  0.6007354E+07,    28.384,  3125.486
       42136,  0.3703627E+06,  0.6007266E+07,    74.450,  4998.856
       42137,  0.3717141E+06,  0.6008819E+07,     8.082,     9.073
       42138,  0.3717671E+06,  0.6008872E+07,     9.518,    10.754
       42139,  0.3716289E+06,  0.6008624E+07,     7.753,     8.735
       42140,  0.3715932E+06,  0.6008509E+07,     7.976,     9.021
       42141,  0.3716469E+06,  0.6008555E+07,    10.063,    11.486
       42142,  0.3716812E+06,  0.6008722E+07,     9.139,    10.299
       42143,  0.3716926E+06,  0.6008658E+07,    10.657,    12.117
       42144,  0.3717578E+06,  0.6008754E+07,     9.403,    10.675
       42145,  0.3716247E+06,  0.6008434E+07,    11.909,    13.743
       42146,  0.3718776E+06,  0.6008886E+07,     8.642,     9.822
       42147,  0.3718109E+06,  0.6008806E+07,     8.114,     9.183
