id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       18395,  0.3445273E+06,  0.6038222E+07,   132.879,  1529.404
       18396,  0.3446131E+06,  0.6038233E+07,   315.873,  3011.217
       18397,  0.3444527E+06,  0.6038169E+07,   278.489,  7464.641
       18398,  0.3445512E+06,  0.6038154E+07,   245.817,  3077.630
       18399,  0.3445073E+06,  0.6038135E+07,   148.064,  3406.810
       18400,  0.3444150E+06,  0.6038099E+07,   154.927,  3539.955
       18401,  0.3444696E+06,  0.6038065E+07,   136.463,  7437.182
       18402,  0.3444719E+06,  0.6038018E+07,   790.294,  8585.573
       18403,  0.3447334E+06,  0.6038293E+07,   125.179,  1505.306
       18404,  0.3448028E+06,  0.6038282E+07,   190.230,  2494.049
       18405,  0.3446909E+06,  0.6038236E+07,   122.617,  1495.731
       18406,  0.3447611E+06,  0.6038226E+07,   195.552,  2634.055
       18407,  0.3450757E+06,  0.6038573E+07,  1047.005,  8835.080
       18408,  0.3450345E+06,  0.6038506E+07,   177.463,  1896.982
       18409,  0.3451054E+06,  0.6038503E+07,  1071.593,  8563.410
       18410,  0.3451536E+06,  0.6038582E+07,  1820.838,  8333.508
       18411,  0.3449939E+06,  0.6038438E+07,   127.246,  1393.975
       18412,  0.3450578E+06,  0.6038422E+07,   386.197,  4929.959
       18413,  0.3449530E+06,  0.6038382E+07,   120.289,  1370.611
       18414,  0.3450177E+06,  0.6038367E+07,   225.884,  2896.925
       18415,  0.3449121E+06,  0.6038327E+07,   118.918,  1371.498
       18416,  0.3449776E+06,  0.6038312E+07,   195.567,  2400.151
       18417,  0.3451833E+06,  0.6038511E+07,  2080.061,  8187.022
       18418,  0.3452466E+06,  0.6038517E+07,  4999.500,  9512.416
       18419,  0.3448713E+06,  0.6038271E+07,   118.863,  1403.492
       18420,  0.3449375E+06,  0.6038257E+07,   177.973,  2152.425
       18421,  0.3448304E+06,  0.6038215E+07,   121.108,  1494.779
       18422,  0.3448974E+06,  0.6038202E+07,   165.401,  2050.112
       18423,  0.3446370E+06,  0.6038165E+07,    94.704,  1002.035
       18424,  0.3447194E+06,  0.6038170E+07,   220.419,  2750.560
       18425,  0.3445605E+06,  0.6038104E+07,   124.340,  7920.886
       18426,  0.3446557E+06,  0.6038098E+07,   173.713,  2642.392
       18427,  0.3446166E+06,  0.6038057E+07,   115.599,  6947.751
       18428,  0.3445189E+06,  0.6038037E+07,   105.562,  7580.139
       18429,  0.3445750E+06,  0.6037991E+07,   124.473,  8490.619
       18430,  0.3445250E+06,  0.6037928E+07,  4999.500,  9969.604
       18431,  0.3447895E+06,  0.6038160E+07,   116.109,  1446.321
       18432,  0.3448573E+06,  0.6038147E+07,   154.971,  1977.429
       18433,  0.3447380E+06,  0.6038102E+07,   109.774,  1123.371
       18434,  0.3448172E+06,  0.6038093E+07,   160.399,  1795.295
       18435,  0.3451288E+06,  0.6038419E+07,   190.696,  1932.076
       18436,  0.3452195E+06,  0.6038465E+07,   537.514,  8132.580
       18437,  0.3451734E+06,  0.6038376E+07,   230.253,  9660.908
       18438,  0.3450816E+06,  0.6038352E+07,   122.185,  1352.857
       18439,  0.3451459E+06,  0.6038336E+07,   128.538,  1370.064
       18440,  0.3450423E+06,  0.6038297E+07,   115.381,  1323.624
       18441,  0.3451068E+06,  0.6038282E+07,   124.838,  1325.973
       18442,  0.3450029E+06,  0.6038243E+07,   114.447,  1318.947
       18443,  0.3450677E+06,  0.6038228E+07,   130.076,  1349.801
       18444,  0.3449636E+06,  0.6038189E+07,   115.102,  1351.329
       18445,  0.3450287E+06,  0.6038174E+07,   131.558,  1357.231
       18446,  0.3452779E+06,  0.6038410E+07,   265.673,  8347.659
       18447,  0.3453168E+06,  0.6038418E+07,  2171.792,  7914.681
       18448,  0.3453450E+06,  0.6038476E+07,  4999.500,  9507.948
       18449,  0.3449243E+06,  0.6038134E+07,   116.132,  1410.701
       18450,  0.3449896E+06,  0.6038120E+07,   130.066,  1376.718
       18451,  0.3448849E+06,  0.6038080E+07,   115.738,  1440.999
       18452,  0.3449505E+06,  0.6038065E+07,   127.512,  1417.317
       18453,  0.3446679E+06,  0.6038032E+07,    90.667,  3209.684
       18454,  0.3447422E+06,  0.6038020E+07,   464.079,  5440.538
       18455,  0.3446295E+06,  0.6037948E+07,   416.729,  6877.503
