FVC file = MER_Scen2_20170701_20200701.fvc, Simulation Execution: 06/12/2020 11:56:13
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.30999405178398E+06, 0.60585368496625E+07, -0.2645844E+02,           1,  0.3080232E+05,          62
, 0.31016823623927E+06, 0.60584520736368E+07, -0.2725514E+02,           1,  0.3508327E+05,          63
, 0.31035614464335E+06, 0.60583554830907E+07, -0.2846508E+02,           1,  0.3828337E+05,          64
, 0.31054115511844E+06, 0.60582545462298E+07, -0.2765705E+02,           1,  0.3497310E+05,          65
, 0.31071726051540E+06, 0.60581605597882E+07, -0.2619198E+02,           1,  0.3405863E+05,          66
, 0.31088423221853E+06, 0.60580670302835E+07, -0.2600000E+02,           1,  0.3150812E+05,          67
, 0.31106300658403E+06, 0.60579801671554E+07, -0.2589266E+02,           1,  0.3428163E+05,          68
, 0.31123158388651E+06, 0.60578898666024E+07, -0.2589266E+02,           1,  0.3654504E+05,          69
, 0.31140180481493E+06, 0.60577846297005E+07, -0.2529610E+02,           1,  0.3171008E+05,          70
, 0.31157134348965E+06, 0.60576951374577E+07, -0.2464523E+02,           1,  0.3526763E+05,          71
, 0.31174482850167E+06, 0.60575959135732E+07, -0.2434913E+02,           1,  0.3494417E+05,          72
, 0.31191863797801E+06, 0.60574977174451E+07, -0.2357633E+02,           1,  0.3500111E+05,          73
, 0.31209247340019E+06, 0.60573994307095E+07, -0.2454452E+02,           1,  0.3503323E+05,          74
, 0.31226634254652E+06, 0.60573011101865E+07, -0.2639368E+02,           1,  0.3505790E+05,          75
, 0.31244025451249E+06, 0.60572027695808E+07, -0.2699862E+02,           1,  0.3508665E+05,          76
, 0.31261418322644E+06, 0.60571044071465E+07, -0.2657312E+02,           1,  0.3510255E+05,          77
, 0.31278813232487E+06, 0.60570060254506E+07, -0.2578718E+02,           1,  0.3512164E+05,          78
, 0.31296210917857E+06, 0.60569076061808E+07, -0.2578718E+02,           1,  0.3513441E+05,          79
, 0.31313611950770E+06, 0.60568091978101E+07, -0.2596668E+02,           1,  0.3514671E+05,          80
, 0.31331008528934E+06, 0.60567109609818E+07, -0.2535671E+02,           1,  0.3518810E+05,          81
, 0.31348426878866E+06, 0.60566134126703E+07, -0.2439004E+02,           1,  0.3548823E+05,          82
, 0.31365587634126E+06, 0.60565103702936E+07, -0.2400000E+02,           1,  0.3428426E+05,          83
, 0.31378896966667E+06, 0.60563964766667E+07, -0.2400000E+02,           1,  0.1506223E+05,          84
, 0.31388713800000E+06, 0.60564370033333E+07, -0.2400000E+02,           1,  0.2371085E+05,          85
, 0.31401493160178E+06, 0.60563409726794E+07, -0.2416100E+02,           1,  0.4468321E+05,          86
, 0.30078571000000E+06, 0.60634830000000E+07, -0.2200000E+02,           1,  0.1846036E+05,          87
, 0.30094178383116E+06, 0.60635029813542E+07, -0.2200000E+02,           1,  0.4918496E+05,          88
, 0.30099681966667E+06, 0.60633459600000E+07, -0.2200000E+02,           1,  0.1873312E+05,          89
, 0.30114374701094E+06, 0.60632841510713E+07, -0.2200000E+02,           1,  0.3501976E+05,          90
, 0.30131513401399E+06, 0.60631936196690E+07, -0.2200000E+02,           1,  0.3309277E+05,          91
, 0.30148840720799E+06, 0.60631069617181E+07, -0.2163535E+02,           1,  0.3484271E+05,          92
, 0.30166577850261E+06, 0.60630167575256E+07, -0.2113535E+02,           1,  0.3544854E+05,          93
, 0.30184323582545E+06, 0.60629241707190E+07, -0.2100000E+02,           1,  0.3502494E+05,          94
, 0.30201450559400E+06, 0.60628436434478E+07, -0.2100000E+02,           1,  0.3062286E+05,          95
, 0.30218420754297E+06, 0.60627551743632E+07, -0.2105532E+02,           1,  0.3222559E+05,          96
, 0.30231147266667E+06, 0.60626579500000E+07, -0.2207377E+02,           1,  0.1879949E+05,          97
, 0.30242402333333E+06, 0.60626707100000E+07, -0.2287150E+02,           1,  0.1762663E+05,          98
, 0.30254679184444E+06, 0.60625738548638E+07, -0.2390363E+02,           1,  0.3035307E+05,          99
, 0.30271857815345E+06, 0.60624811209883E+07, -0.2400000E+02,           1,  0.2975632E+05,         100
, 0.30289334302785E+06, 0.60623921234248E+07, -0.2400000E+02,           1,  0.2975661E+05,         101
, 0.30306687520105E+06, 0.60623031880868E+07, -0.2400000E+02,           1,  0.2973118E+05,         102
, 0.30324014084779E+06, 0.60622137875202E+07, -0.2378935E+02,           1,  0.2965993E+05,         103
, 0.30341254507339E+06, 0.60621243061213E+07, -0.2328935E+02,           1,  0.2936933E+05,         104
, 0.30358451024723E+06, 0.60620352203072E+07, -0.2300000E+02,           1,  0.2916589E+05,         105
, 0.30375835458463E+06, 0.60619457272216E+07, -0.2300000E+02,           1,  0.2966663E+05,         106
, 0.30393020578693E+06, 0.60618553570949E+07, -0.2300000E+02,           1,  0.2922146E+05,         107
, 0.30409554147375E+06, 0.60617609495712E+07, -0.2303103E+02,           1,  0.2832839E+05,         108
, 0.30425574241143E+06, 0.60616718666958E+07, -0.2328103E+02,           1,  0.2946301E+05,         109
, 0.30443776152194E+06, 0.60616022677874E+07, -0.2361822E+02,           1,  0.3472107E+05,         110
, 0.30460848439436E+06, 0.60615177623945E+07, -0.2436822E+02,           1,  0.3162843E+05,         111
, 0.30476903764039E+06, 0.60614192981636E+07, -0.2500000E+02,           1,  0.2725345E+05,         112
, 0.30492374712233E+06, 0.60613387567960E+07, -0.2500000E+02,           1,  0.3241688E+05,         113
, 0.30509224773425E+06, 0.60612566397359E+07, -0.2500000E+02,           1,  0.3254491E+05,         114
, 0.30526007218796E+06, 0.60611755511243E+07, -0.2500000E+02,           1,  0.3603977E+05,         115
, 0.30540911666667E+06, 0.60611284200000E+07, -0.2500000E+02,           1,  0.2025244E+05,         116
, 0.30546216900000E+06, 0.60610283433333E+07, -0.2500000E+02,           1,  0.1781560E+05,         117
, 0.30561409787322E+06, 0.60609885301763E+07, -0.2500000E+02,           1,  0.3270257E+05,         118
, 0.30579126277392E+06, 0.60609020672268E+07, -0.2500000E+02,           1,  0.3028373E+05,         119
, 0.30593271500000E+06, 0.60608732566667E+07, -0.2480393E+02,           1,  0.1471459E+05,         120
, 0.30603565551483E+06, 0.60607764518988E+07, -0.2449825E+02,           1,  0.3343040E+05,         121
, 0.30614139066667E+06, 0.60606779600000E+07, -0.2419374E+02,           1,  0.1503875E+05,         122
, 0.30628089940413E+06, 0.60606522370198E+07, -0.2428059E+02,           1,  0.2939702E+05,         123
, 0.30645278451672E+06, 0.60605662545346E+07, -0.2503059E+02,           1,  0.3552619E+05,         124
, 0.30662199925805E+06, 0.60604791672214E+07, -0.2570194E+02,           1,  0.2998959E+05,         125
, 0.30675689200000E+06, 0.60604555766667E+07, -0.2626925E+02,           1,  0.1542875E+05,         126
, 0.30681935666667E+06, 0.60603586500000E+07, -0.2700000E+02,           1,  0.1994570E+05,         127
, 0.30693195933333E+06, 0.60603643366667E+07, -0.2684760E+02,           1,  0.1577711E+05,         128
, 0.30703653658899E+06, 0.60602686165368E+07, -0.2642447E+02,           1,  0.2952905E+05,         129
, 0.30720063502976E+06, 0.60601835110473E+07, -0.2603877E+02,           1,  0.3074742E+05,         130
, 0.30736625103195E+06, 0.60601101372641E+07, -0.2600000E+02,           1,  0.2758751E+05,         131
, 0.30753327313512E+06, 0.60600262385976E+07, -0.2600000E+02,           1,  0.2822191E+05,         132
, 0.30770539008497E+06, 0.60599222041142E+07, -0.2600000E+02,           1,  0.3177555E+05,         133
