id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       12418,  0.3290964E+06,  0.6051896E+07,     7.880,     9.441
       12419,  0.3291376E+06,  0.6052012E+07,    11.002,    12.987
       12420,  0.3291587E+06,  0.6051949E+07,     7.390,     8.667
       12421,  0.3289937E+06,  0.6051793E+07,    13.577,    17.850
       12422,  0.3290624E+06,  0.6051805E+07,     9.503,    11.982
       12423,  0.3291989E+06,  0.6052066E+07,    11.033,    12.965
       12424,  0.3292209E+06,  0.6052002E+07,     7.216,     8.389
       12425,  0.3289369E+06,  0.6051712E+07,    14.852,    23.575
       12426,  0.3290352E+06,  0.6051719E+07,    11.116,    15.737
       12427,  0.3289955E+06,  0.6051690E+07,    12.729,    21.187
       12428,  0.3292602E+06,  0.6052119E+07,    11.154,    13.079
       12429,  0.3292831E+06,  0.6052055E+07,     7.122,     8.242
       12430,  0.3289525E+06,  0.6051652E+07,    14.706,    25.610
       12431,  0.3293216E+06,  0.6052172E+07,    11.490,    13.529
       12432,  0.3293454E+06,  0.6052108E+07,     7.113,     8.231
       12433,  0.3293829E+06,  0.6052226E+07,    12.158,    14.538
       12434,  0.3294076E+06,  0.6052162E+07,     7.307,     8.540
       12435,  0.3294551E+06,  0.6052291E+07,    13.109,    16.166
       12436,  0.3294698E+06,  0.6052215E+07,     7.751,     9.282
       12437,  0.3295386E+06,  0.6052362E+07,    14.084,    18.239
       12438,  0.3295517E+06,  0.6052292E+07,    10.957,    13.628
       12439,  0.3295891E+06,  0.6052454E+07,     9.897,    13.868
       12440,  0.3296359E+06,  0.6052362E+07,    11.274,    14.803
       12441,  0.3296266E+06,  0.6052428E+07,    10.430,    14.523
       12442,  0.3296608E+06,  0.6052646E+07,    20.185,   950.474
       12443,  0.3296244E+06,  0.6052555E+07,    14.819,    24.199
       12444,  0.3297016E+06,  0.6052566E+07,    13.604,    25.652
       12445,  0.3297264E+06,  0.6052668E+07,    16.567,  1162.631
       12446,  0.3296352E+06,  0.6052488E+07,    14.145,    20.738
       12447,  0.3291788E+06,  0.6051886E+07,    11.307,    13.512
       12448,  0.3291322E+06,  0.6051816E+07,    12.195,    15.022
       12449,  0.3291980E+06,  0.6051823E+07,     8.003,     9.545
       12450,  0.3292419E+06,  0.6051939E+07,    11.122,    13.167
       12451,  0.3292621E+06,  0.6051876E+07,     7.535,     8.824
       12452,  0.3291038E+06,  0.6051731E+07,    13.805,    18.802
       12453,  0.3291679E+06,  0.6051734E+07,     9.076,    11.523
