ISOTime,fb
01/07/2015 00:00:00,600
01/07/2015 01:00:00,450
01/07/2015 02:00:00,500
01/07/2015 03:00:00,700
01/07/2015 04:00:00,550
01/07/2015 05:00:00,600
01/07/2015 06:00:00,300
01/07/2015 07:00:00,600
01/07/2015 08:00:00,650
01/07/2015 09:00:00,650
01/07/2015 10:00:00,500
01/07/2015 11:00:00,300
01/07/2015 12:00:00,350
01/07/2015 13:00:00,600
01/07/2015 14:00:00,750
01/07/2015 15:00:00,350
01/07/2015 16:00:00,400
01/07/2015 17:00:00,200
01/07/2015 18:00:00,350
01/07/2015 19:00:00,200
01/07/2015 20:00:00,600
01/07/2015 21:00:00,450
01/07/2015 22:00:00,600
01/07/2015 23:00:00,550
02/07/2015 00:00:00,450
02/07/2015 01:00:00,450
02/07/2015 02:00:00,650
02/07/2015 03:00:00,650
02/07/2015 04:00:00,200
02/07/2015 05:00:00,550
02/07/2015 06:00:00,350
02/07/2015 07:00:00,400
02/07/2015 08:00:00,900
02/07/2015 09:00:00,700
02/07/2015 10:00:00,700
02/07/2015 11:00:00,850
02/07/2015 12:00:00,600
02/07/2015 13:00:00,800
02/07/2015 14:00:00,900
02/07/2015 15:00:00,500
02/07/2015 16:00:00,750
02/07/2015 17:00:00,500
02/07/2015 18:00:00,500
02/07/2015 19:00:00,500
02/07/2015 20:00:00,750
02/07/2015 21:00:00,650
02/07/2015 22:00:00,550
02/07/2015 23:00:00,300
03/07/2015 00:00:00,400
03/07/2015 01:00:00,450
03/07/2015 02:00:00,700
03/07/2015 03:00:00,400
03/07/2015 04:00:00,350
03/07/2015 05:00:00,700
03/07/2015 06:00:00,500
03/07/2015 07:00:00,700
03/07/2015 08:00:00,800
03/07/2015 09:00:00,550
03/07/2015 10:00:00,500
03/07/2015 11:00:00,450
03/07/2015 12:00:00,600
03/07/2015 13:00:00,550
03/07/2015 14:00:00,400
03/07/2015 15:00:00,550
03/07/2015 16:00:00,550
03/07/2015 17:00:00,350
03/07/2015 18:00:00,600
03/07/2015 19:00:00,600
03/07/2015 20:00:00,650
03/07/2015 21:00:00,400
03/07/2015 22:00:00,500
03/07/2015 23:00:00,600
04/07/2015 00:00:00,850
04/07/2015 01:00:00,700
04/07/2015 02:00:00,450
04/07/2015 03:00:00,600
04/07/2015 04:00:00,250
04/07/2015 05:00:00,400
04/07/2015 06:00:00,250
04/07/2015 07:00:00,450
04/07/2015 08:00:00,450
04/07/2015 09:00:00,700
04/07/2015 10:00:00,550
04/07/2015 11:00:00,400
04/07/2015 12:00:00,300
04/07/2015 13:00:00,300
04/07/2015 14:00:00,400
04/07/2015 15:00:00,550
04/07/2015 16:00:00,450
04/07/2015 17:00:00,500
04/07/2015 18:00:00,550
04/07/2015 19:00:00,650
04/07/2015 20:00:00,350
04/07/2015 21:00:00,650
04/07/2015 22:00:00,550
04/07/2015 23:00:00,450
05/07/2015 00:00:00,350
05/07/2015 01:00:00,450
05/07/2015 02:00:00,400
05/07/2015 03:00:00,400
05/07/2015 04:00:00,450
05/07/2015 05:00:00,500
05/07/2015 06:00:00,250
05/07/2015 07:00:00,350
05/07/2015 08:00:00,400
05/07/2015 09:00:00,400
05/07/2015 10:00:00,700
05/07/2015 11:00:00,350
05/07/2015 12:00:00,600
05/07/2015 13:00:00,300
05/07/2015 14:00:00,450
05/07/2015 15:00:00,650
05/07/2015 16:00:00,350
05/07/2015 17:00:00,500
05/07/2015 18:00:00,250
05/07/2015 19:00:00,500
05/07/2015 20:00:00,300
05/07/2015 21:00:00,650
05/07/2015 22:00:00,550
05/07/2015 23:00:00,550
06/07/2015 00:00:00,450
06/07/2015 01:00:00,350
06/07/2015 02:00:00,550
06/07/2015 03:00:00,500
06/07/2015 04:00:00,400
06/07/2015 05:00:00,400
06/07/2015 06:00:00,550
06/07/2015 07:00:00,550
06/07/2015 08:00:00,400
06/07/2015 09:00:00,450
06/07/2015 10:00:00,700
06/07/2015 11:00:00,500
06/07/2015 12:00:00,600
06/07/2015 13:00:00,400
06/07/2015 14:00:00,500
06/07/2015 15:00:00,800
06/07/2015 16:00:00,700
06/07/2015 17:00:00,450
06/07/2015 18:00:00,600
06/07/2015 19:00:00,500
06/07/2015 20:00:00,500
06/07/2015 21:00:00,800
06/07/2015 22:00:00,350
06/07/2015 23:00:00,750
07/07/2015 00:00:00,750
07/07/2015 01:00:00,750
07/07/2015 02:00:00,450
07/07/2015 03:00:00,300
07/07/2015 04:00:00,350
07/07/2015 05:00:00,450
07/07/2015 06:00:00,350
07/07/2015 07:00:00,350
07/07/2015 08:00:00,700
07/07/2015 09:00:00,400
07/07/2015 10:00:00,500
07/07/2015 11:00:00,100
07/07/2015 12:00:00,300
07/07/2015 13:00:00,350
07/07/2015 14:00:00,550
07/07/2015 15:00:00,550
07/07/2015 16:00:00,950
07/07/2015 17:00:00,700
07/07/2015 18:00:00,450
07/07/2015 19:00:00,650
07/07/2015 20:00:00,600
07/07/2015 21:00:00,500
07/07/2015 22:00:00,400
07/07/2015 23:00:00,800
08/07/2015 00:00:00,650
