Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,14/05/2010 10:55:54,14/05/2010 10:55:54,1.000
Conductivity,14/05/2010 10:55:01,14/05/2010 10:55:01,1.000
WQ_CAR_DIC,14/05/2010 10:55:53,14/05/2010 10:55:53,1.000
WQ_CAR_PH,14/05/2010 10:55:49,14/05/2010 10:55:49,1.000
TEMP,14/05/2010 10:55:00,14/05/2010 10:55:00,1.000
SAL,14/05/2010 10:55:01,14/05/2010 10:55:01,1.000
