ID,LND_phreatic,ASS_pass0_lay1,ASS_anc0_lay1,ASS_uzaass,ASS_szaass
7492,0.0000,0.2000,0.2000,0.0000,0.0000
7493,0.0000,0.2000,0.2000,0.0000,0.0000
7494,0.0000,0.2000,0.2000,0.0000,0.0000
7495,0.0000,0.2095,0.1845,0.3054,-2.7002
7496,0.0000,0.2000,0.2000,0.0000,0.0000
7497,0.0047,0.2017,0.1994,0.0052,-0.1081
7498,0.0087,0.2171,0.2064,0.0243,-0.3422
7499,0.0217,0.2462,0.2183,0.0744,-0.9761
7500,0.0287,0.2877,0.2405,0.2032,-2.2161
7501,0.0046,0.3277,0.2466,0.2962,-2.7001
7502,0.0000,0.2000,0.2000,0.0000,0.0000
7503,0.0073,0.2084,0.2063,0.0000,-1.8052
7504,0.0156,0.2179,0.2134,0.0000,-3.8723
7505,0.2322,0.2667,0.2500,0.0000,-14.4000
7506,0.2322,0.2667,0.2500,0.0000,-14.4000
7507,0.2322,0.2667,0.2500,0.0000,-14.4000
7508,0.2322,0.2667,0.2500,0.0000,-14.4000
7509,0.2322,0.2625,0.2500,0.0000,-14.4000
7510,0.2236,0.2489,0.2481,0.0000,-13.8609
7511,0.1423,0.2366,0.2306,0.0000,-8.8260
7512,0.1298,0.2245,0.2279,0.0000,-8.0461
7513,0.0607,0.2926,0.1594,0.3925,-12.0364
7514,0.0000,0.3797,0.2068,0.7740,-11.2782
7515,0.0000,0.4563,0.2653,0.8896,-10.8000
7516,0.0000,0.3777,0.2366,0.8695,-10.7999
7517,0.0000,0.3536,0.2264,0.8588,-10.7999
7518,0.0000,0.3293,0.2192,0.8147,-10.7997
7519,0.0086,0.3266,0.2232,0.7485,-10.7991
7520,0.0213,0.3280,0.2298,0.6745,-10.7984
7521,0.0094,0.3993,0.2495,0.5963,-9.4530
7522,0.0161,0.3659,0.2366,0.7043,-10.7987
7523,0.0079,0.4286,0.2555,0.6968,-10.7989
7524,0.0000,0.3369,0.3322,0.5251,-7.4051
7525,0.0000,0.3717,0.3457,0.6313,-8.9709
7526,0.0000,0.2757,0.4868,0.5810,-7.4670
7527,0.0000,0.2271,0.3054,0.2119,-2.7184
7528,0.0000,0.2657,0.4554,0.5132,-6.5847
7529,0.2741,0.2054,0.4305,0.0000,-10.7832
7530,0.0000,0.2000,0.2000,0.0000,0.0000
7531,0.0000,0.2000,0.2000,0.0000,0.0000
7532,0.0000,0.2749,0.3633,0.2618,-3.1689
7533,0.0000,0.2449,0.2838,0.2622,-3.1756
