"Time","A5031005","A5031005","A5031005"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
26/05/2006 00:00,       0.123,       0.026,       0.000
27/05/2006 00:00,       0.113,       0.007,       0.000
28/05/2006 00:00,       1.237,       0.458,       0.000
29/05/2006 00:00,       1.598,       1.370,       1.102
30/05/2006 00:00,       1.102,       0.600,       0.267
31/05/2006 00:00,       1.949,       0.239,       0.000
01/06/2006 00:00,     106.914,      16.618,       1.949
02/06/2006 00:00,     135.322,     124.866,     106.914
03/06/2006 00:00,     118.341,     109.202,      98.607
04/06/2006 00:00,      98.607,      91.087,      79.245
05/06/2006 00:00,      79.245,      48.681,      26.437
06/06/2006 00:00,      26.437,      20.262,      16.560
07/06/2006 00:00,      16.560,      13.947,      11.025
08/06/2006 00:00,      11.025,       8.534,       5.815
09/06/2006 00:00,       5.815,       3.863,       2.204
10/06/2006 00:00,       2.204,       1.858,       1.690
11/06/2006 00:00,       1.690,       1.455,       1.158
12/06/2006 00:00,       1.248,       1.044,       0.816
13/06/2006 00:00,       0.888,       0.695,       0.358
14/06/2006 00:00,       1.068,       0.440,       0.268
15/06/2006 00:00,       2.197,       1.721,       1.068
16/06/2006 00:00,       1.848,       1.317,       0.894
17/06/2006 00:00,       0.962,       0.633,       0.494
18/06/2006 00:00,       0.659,       0.508,       0.420
19/06/2006 00:00,"","",""
20/06/2006 00:00,"","",""
21/06/2006 00:00,"","",""
22/06/2006 00:00,"","",""
23/06/2006 00:00,"","",""
24/06/2006 00:00,"","",""
25/06/2006 00:00,"","",""
26/06/2006 00:00,"","",""
27/06/2006 00:00,"","",""
28/06/2006 00:00,       0.141,       0.087,       0.004
29/06/2006 00:00,       0.004,       0.000,       0.000
30/06/2006 00:00,       0.233,       0.059,       0.000
01/07/2006 00:00,       7.060,       3.103,       0.233
02/07/2006 00:00,     157.789,      48.855,       7.060
03/07/2006 00:00,     158.871,     154.709,     149.150
04/07/2006 00:00,     149.150,     133.137,     115.920
05/07/2006 00:00,     115.920,     106.499,      97.669
06/07/2006 00:00,      97.669,      91.511,      84.455
07/07/2006 00:00,      84.455,      78.712,      71.373
08/07/2006 00:00,      71.373,      63.262,      43.712
09/07/2006 00:00,      43.712,      32.511,      24.930
10/07/2006 00:00,      29.645,      24.482,      23.025
11/07/2006 00:00,      56.948,      42.467,      29.645
12/07/2006 00:00,      42.947,      32.082,      22.535
13/07/2006 00:00,      22.535,      20.613,      19.845
14/07/2006 00:00,      29.613,      26.290,      22.031
15/07/2006 00:00,      28.229,      27.481,      26.187
16/07/2006 00:00,      26.953,      25.439,      24.608
