"Time","A5040549","A5040549","A5040549"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
24/07/1990 00:00,"","",""
25/07/1990 00:00,     128.995,      24.840,       6.307
26/07/1990 00:00,       8.986,       6.873,       4.612
27/07/1990 00:00,     229.910,      21.450,       4.234
28/07/1990 00:00,     119.090,      14.634,       5.334
29/07/1990 00:00,      29.894,       7.238,       4.493
30/07/1990 00:00,       5.962,       4.380,       2.851
31/07/1990 00:00,       5.011,       3.867,       3.110
01/08/1990 00:00,       4.925,       3.232,       2.074
02/08/1990 00:00,       4.925,       3.304,       1.814
03/08/1990 00:00,     439.085,      64.058,       2.938
04/08/1990 00:00,      96.595,      31.547,      12.096
05/08/1990 00:00,    1060.560,      73.590,      12.614
06/08/1990 00:00,      89.424,      34.296,      16.215
07/08/1990 00:00,     152.150,      31.307,      12.269
08/08/1990 00:00,      28.166,      17.469,      14.947
09/08/1990 00:00,     790.906,     142.689,      13.219
10/08/1990 00:00,     140.918,      68.283,      33.910
11/08/1990 00:00,     203.731,      48.345,      29.894
12/08/1990 00:00,     466.992,      61.616,      28.588
13/08/1990 00:00,      50.976,      24.673,      19.627
14/08/1990 00:00,    1559.606,     177.671,      16.762
15/08/1990 00:00,    1672.963,     622.088,     223.203
16/08/1990 00:00,     223.203,     168.412,     110.335
17/08/1990 00:00,     110.335,      87.317,      63.712
18/08/1990 00:00,      63.712,      47.260,      35.069
19/08/1990 00:00,      35.069,      28.884,      25.875
20/08/1990 00:00,      78.624,      26.787,      22.453
21/08/1990 00:00,     292.118,      92.248,      21.686
22/08/1990 00:00,     454.118,     205.804,      91.325
23/08/1990 00:00,     188.438,      97.325,      67.763
24/08/1990 00:00,      67.763,      55.048,      42.193
25/08/1990 00:00,     116.035,      50.027,      33.729
26/08/1990 00:00,      33.729,      27.109,      21.407
27/08/1990 00:00,      21.407,      18.254,      16.416
28/08/1990 00:00,     393.293,      99.938,      13.565
29/08/1990 00:00,     534.298,      84.396,      39.289
30/08/1990 00:00,      39.289,      28.604,      23.674
31/08/1990 00:00,      26.611,      21.414,      17.137
01/09/1990 00:00,      17.366,      15.693,      13.815
02/09/1990 00:00,     161.654,      30.905,      12.874
03/09/1990 00:00,      24.708,      18.586,      15.466
04/09/1990 00:00,      17.366,      15.611,      14.170
05/09/1990 00:00,     144.806,      40.608,      14.710
06/09/1990 00:00,     392.774,      69.594,      29.462
07/09/1990 00:00,      40.151,      30.144,      23.414
08/09/1990 00:00,      24.106,      21.288,      17.869
09/09/1990 00:00,      17.885,      16.814,      14.627
10/09/1990 00:00,      15.984,      14.005,      11.899
