"Time","A4260504","A4260504","A4260504"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
11/12/2010 00:00,"","",""
12/12/2010 00:00,      63.072,      61.392,      57.629
13/12/2010 00:00,      57.629,      51.695,      46.656
14/12/2010 00:00,      46.656,      43.337,      41.472
15/12/2010 00:00,      42.336,      38.138,      34.733
16/12/2010 00:00,      34.733,      32.508,      30.758
17/12/2010 00:00,      33.955,      31.446,      30.240
18/12/2010 00:00,      35.078,      34.569,      33.912
19/12/2010 00:00,      65.146,      48.100,      33.955
20/12/2010 00:00,      63.504,      58.807,      51.926
21/12/2010 00:00,      51.926,      48.386,      45.706
22/12/2010 00:00,      50.026,      44.871,      40.003
23/12/2010 00:00,      40.003,      36.228,      33.350
24/12/2010 00:00,      33.523,      32.189,      30.240
25/12/2010 00:00,      30.931,      29.466,      28.512
26/12/2010 00:00,      28.512,      27.474,      26.698
27/12/2010 00:00,      27.302,      26.679,      25.834
28/12/2010 00:00,      25.834,      24.635,      23.501
29/12/2010 00:00,      23.933,      22.577,      21.686
30/12/2010 00:00,      21.859,      20.526,      19.094
31/12/2010 00:00,      19.094,      17.262,      16.157
01/01/2011 00:00,      17.798,      17.141,      16.675
02/01/2011 00:00,      16.675,      16.346,      16.157
03/01/2011 00:00,      16.157,      15.285,      14.602
04/01/2011 00:00,      15.120,      14.736,      14.429
05/01/2011 00:00,      14.602,      14.117,      13.651
06/01/2011 00:00,      14.602,      13.365,      11.059
07/01/2011 00:00,      13.651,      12.813,      11.405
08/01/2011 00:00,      12.787,      12.211,      11.578
09/01/2011 00:00,      12.010,      11.146,      10.541
10/01/2011 00:00,      11.232,      10.807,      10.368
11/01/2011 00:00,      13.133,      12.543,      11.059
12/01/2011 00:00,      14.083,      13.395,      12.960
13/01/2011 00:00,      30.240,      18.875,      14.083
14/01/2011 00:00,      37.066,      32.339,      25.834
15/01/2011 00:00,      25.834,      22.607,      19.613
16/01/2011 00:00,      21.168,      19.543,      17.798
17/01/2011 00:00,      19.699,      18.897,      17.194
18/01/2011 00:00,      17.194,      14.720,      13.565
19/01/2011 00:00,      13.738,      12.907,      12.010
20/01/2011 00:00,      12.010,      11.314,      10.627
21/01/2011 00:00,      11.059,      10.337,       9.590
22/01/2011 00:00,      11.923,      10.843,       8.467
23/01/2011 00:00,      11.491,      10.299,       7.344
24/01/2011 00:00,      10.886,      10.456,       9.763
25/01/2011 00:00,      10.541,      10.237,       9.763
26/01/2011 00:00,       9.850,       9.014,       7.517
27/01/2011 00:00,       9.936,       9.367,       8.640
28/01/2011 00:00,      10.541,       9.983,       9.331
