"Time","A5030526","A5030526","A5030526"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
23/06/1976 00:00,"","",""
24/06/1976 00:00,       5.789,       2.533,       2.074
25/06/1976 00:00,       7.171,       2.738,       2.160
26/06/1976 00:00,       2.506,       2.232,       1.901
27/06/1976 00:00,      32.054,       5.312,       2.246
28/06/1976 00:00,       7.085,       3.442,       3.024
29/06/1976 00:00,       3.370,       2.914,       2.744
30/06/1976 00:00,       3.110,       2.659,       2.546
01/07/1976 00:00,       2.938,       2.502,       2.419
02/07/1976 00:00,       4.039,       2.475,       2.160
03/07/1976 00:00,      69.984,      17.268,       3.110
04/07/1976 00:00,      51.840,      10.842,       6.307
05/07/1976 00:00,       7.065,       5.803,       4.941
06/07/1976 00:00,       5.184,       4.450,       3.802
07/07/1976 00:00,       4.147,       3.749,       3.415
08/07/1976 00:00,       3.715,       3.289,       3.110
09/07/1976 00:00,       3.370,       3.084,       2.851
10/07/1976 00:00,       3.283,       2.884,       2.809
11/07/1976 00:00,       2.809,       2.703,       2.678
12/07/1976 00:00,       3.197,       2.771,       2.678
13/07/1976 00:00,       2.938,       2.677,       2.588
14/07/1976 00:00,       2.938,       2.523,       2.246
15/07/1976 00:00,       2.765,       2.478,       2.246
16/07/1976 00:00,       2.592,       2.332,       2.246
17/07/1976 00:00,       2.506,       2.277,       2.246
18/07/1976 00:00,       2.333,       2.218,       1.901
19/07/1976 00:00,       2.765,       2.262,       2.160
20/07/1976 00:00,       2.592,       2.187,       2.074
21/07/1976 00:00,       2.506,       2.193,       1.987
22/07/1976 00:00,       2.506,       2.125,       1.987
23/07/1976 00:00,       2.246,       1.964,       1.858
24/07/1976 00:00,       2.160,       1.804,       1.555
25/07/1976 00:00,       1.987,       1.954,       1.901
26/07/1976 00:00,       2.333,       1.931,       1.814
27/07/1976 00:00,       2.333,       1.983,       1.867
28/07/1976 00:00,       2.419,       1.982,       1.814
29/07/1976 00:00,      26.266,       3.062,       1.901
30/07/1976 00:00,       6.048,       2.768,       2.160
31/07/1976 00:00,     151.027,       6.741,       2.277
01/08/1976 00:00,       6.674,       4.266,       3.540
02/08/1976 00:00,      51.408,       7.770,       3.456
03/08/1976 00:00,      10.109,       5.736,       4.475
04/08/1976 00:00,       4.475,       4.140,       3.892
05/08/1976 00:00,      22.291,       4.581,       3.370
06/08/1976 00:00,      12.016,       4.706,       3.110
07/08/1976 00:00,       3.715,       3.587,       3.456
08/08/1976 00:00,       3.472,       3.385,       3.370
09/08/1976 00:00,       5.011,       3.323,       3.110
10/08/1976 00:00,      24.451,       6.938,       3.542
