"Time","A4261020","A4261020","A4261020"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
05/09/2006 00:00,"","",""
06/09/2006 00:00,       0.086,       0.086,       0.086
07/09/2006 00:00,"","",""
08/09/2006 00:00,      96.941,      65.518,      37.411
09/09/2006 00:00,     189.907,      98.338,      46.397
10/09/2006 00:00,     140.054,      75.243,      39.139
11/09/2006 00:00,      71.107,      48.036,      19.613
12/09/2006 00:00,      56.333,      37.903,      21.773
13/09/2006 00:00,      51.926,      33.014,      16.934
14/09/2006 00:00,      43.286,      31.688,      15.034
15/09/2006 00:00,      40.349,      31.426,      15.725
16/09/2006 00:00,      42.509,      30.737,      18.230
17/09/2006 00:00,      44.323,      28.464,      16.416
18/09/2006 00:00,      42.336,      26.847,      16.848
19/09/2006 00:00,      35.597,      25.684,      16.502
20/09/2006 00:00,      37.930,      28.139,      15.638
21/09/2006 00:00,      40.867,      27.978,      19.094
22/09/2006 00:00,      36.115,      27.816,      19.094
23/09/2006 00:00,      44.582,      31.666,      20.995
24/09/2006 00:00,      57.197,      38.073,      21.773
25/09/2006 00:00,      53.395,      32.257,      14.688
26/09/2006 00:00,      39.312,      29.028,      19.872
27/09/2006 00:00,      35.078,      27.259,      20.563
28/09/2006 00:00,      43.200,      25.998,      14.947
29/09/2006 00:00,      35.078,      24.458,      15.552
30/09/2006 00:00,      32.141,      24.631,      16.502
01/10/2006 00:00,      32.573,      24.143,      15.552
02/10/2006 00:00,      29.894,      22.831,      15.034
03/10/2006 00:00,      27.994,      21.854,      13.738
04/10/2006 00:00,      28.685,      18.685,      12.787
05/10/2006 00:00,      21.514,      16.102,      10.714
06/10/2006 00:00,      24.883,      18.123,      13.392
07/10/2006 00:00,      21.082,      15.191,      10.195
08/10/2006 00:00,      16.070,      11.459,       3.888
09/10/2006 00:00,      18.922,      12.489,       6.998
10/10/2006 00:00,      18.230,      12.657,       8.035
11/10/2006 00:00,      15.725,      11.053,       4.579
12/10/2006 00:00,      12.960,       9.675,       3.629
13/10/2006 00:00,      13.651,       8.583,       4.666
14/10/2006 00:00,      14.861,      11.391,       5.702
15/10/2006 00:00,      13.651,       9.145,       5.184
16/10/2006 00:00,      14.515,      10.439,       2.765
17/10/2006 00:00,      17.539,      11.024,       7.517
18/10/2006 00:00,"","",""
19/10/2006 00:00,"","",""
20/10/2006 00:00,"","",""
21/10/2006 00:00,"","",""
22/10/2006 00:00,"","",""
23/10/2006 00:00,"","",""
24/10/2006 00:00,"","",""
25/10/2006 00:00,"","",""
26/10/2006 00:00,"","",""
27/10/2006 00:00,"","",""
28/10/2006 00:00,"","",""
