Variable,Site
FLOW,A4260503
SAL,A4261101
TEMP,A4261101
TRACE_1,No Site
WQ_TRC_SS1,EPA2014_Finniss_River_US1
WQ_TRC_RET,No Site
WQ_OXY_OXY,EPA2014_Finniss_River_US1
WQ_CAR_DIC,EPA2014_Finniss_River_US1
WQ_CAR_PH,EPA2014_Finniss_River_US1
WQ_CAR_CH4,No Site
WQ_SIL_RSI,EPA2014_Milang
WQ_NIT_AMM,EPA2014_Finniss_River_US1
WQ_NIT_NIT,EPA2014_Finniss_River_US1
WQ_NIT_N2O,No Site
WQ_PHS_FRP,EPA2014_Finniss_River_DS_of_WL
WQ_PHS_FRP_ADS,EPA2014_Finniss_River_US1
WQ_OGM_DOC,EPA2014_Milang
WQ_OGM_POC,No Site
WQ_OGM_DON,EPA2014_Finniss_River_US1
WQ_OGM_PON,EPA2014_Finniss_River_US1
WQ_OGM_DOP,EPA2014_Finniss_River_US1
WQ_OGM_POP,EPA2014_Finniss_River_US1
WQ_PHY_GRN,EPA2014_Milang
WQ_ZOO_GRAZER,No Site
WQ_GEO_PE,No Site
WQ_GEO_UBALCHG,No Site
WQ_LND_TRACER,No Site
WQ_SBG_TRACER,No Site
WQ_SBG_DOM_LEACHATE,No Site
