Time,Q
02/12/2013 00:00:00,18.1192
03/12/2013 00:00:00,17.2956
04/12/2013 00:00:00,6.3823
05/12/2013 00:00:00,-0.0375
06/12/2013 00:00:00,12.2198
07/12/2013 00:00:00,22.8249
08/12/2013 00:00:00,21.9641
09/12/2013 00:00:00,18.0190
10/12/2013 00:00:00,12.8574
11/12/2013 00:00:00,14.2535
12/12/2013 00:00:00,13.2536
13/12/2013 00:00:00,11.7275
14/12/2013 00:00:00,8.8181
15/12/2013 00:00:00,9.4356
16/12/2013 00:00:00,5.7251
17/12/2013 00:00:00,2.8208
18/12/2013 00:00:00,3.0706
19/12/2013 00:00:00,2.9109
20/12/2013 00:00:00,1.4291
21/12/2013 00:00:00,6.6650
22/12/2013 00:00:00,7.2180
23/12/2013 00:00:00,7.5939
24/12/2013 00:00:00,9.3397
25/12/2013 00:00:00,9.1146
26/12/2013 00:00:00,7.7264
27/12/2013 00:00:00,9.5141
28/12/2013 00:00:00,7.8196
29/12/2013 00:00:00,9.0003
30/12/2013 00:00:00,9.5196
31/12/2013 00:00:00,10.1236
01/01/2014 00:00:00,10.1236
02/01/2014 00:00:00,8.9947
03/01/2014 00:00:00,1.4457
04/01/2014 00:00:00,0.0332
05/01/2014 00:00:00,0.0365
06/01/2014 00:00:00,0.0471
07/01/2014 00:00:00,2.1801
08/01/2014 00:00:00,3.1382
09/01/2014 00:00:00,2.7981
10/01/2014 00:00:00,2.6460
11/01/2014 00:00:00,2.6135
12/01/2014 00:00:00,2.8866
13/01/2014 00:00:00,3.0382
14/01/2014 00:00:00,2.8676
15/01/2014 00:00:00,2.9378
16/01/2014 00:00:00,2.9147
17/01/2014 00:00:00,1.7308
18/01/2014 00:00:00,0.0727
19/01/2014 00:00:00,0.0840
20/01/2014 00:00:00,1.6680
21/01/2014 00:00:00,2.5477
22/01/2014 00:00:00,2.7345
23/01/2014 00:00:00,2.5778
24/01/2014 00:00:00,2.0334
25/01/2014 00:00:00,2.5174
26/01/2014 00:00:00,2.7443
27/01/2014 00:00:00,2.5089
28/01/2014 00:00:00,1.9465
29/01/2014 00:00:00,1.9968
30/01/2014 00:00:00,2.0535
31/01/2014 00:00:00,1.1585
01/02/2014 00:00:00,0.0561
02/02/2014 00:00:00,0.0533
03/02/2014 00:00:00,0.0187
04/02/2014 00:00:00,0.0711
05/02/2014 00:00:00,0.0568
06/02/2014 00:00:00,0.0394
07/02/2014 00:00:00,0.0455
08/02/2014 00:00:00,0.0583
09/02/2014 00:00:00,0.0248
10/02/2014 00:00:00,0.0604
11/02/2014 00:00:00,0.0566
12/02/2014 00:00:00,0.0565
13/02/2014 00:00:00,0.0606
14/02/2014 00:00:00,0.0752
15/02/2014 00:00:00,0.0304
16/02/2014 00:00:00,0.0386
17/02/2014 00:00:00,0.0585
18/02/2014 00:00:00,0.0490
19/02/2014 00:00:00,0.0016
20/02/2014 00:00:00,0.0299
21/02/2014 00:00:00,0.0462
22/02/2014 00:00:00,0.0530
23/02/2014 00:00:00,0.0542
24/02/2014 00:00:00,0.0449
25/02/2014 00:00:00,0.0371
26/02/2014 00:00:00,0.0436
27/02/2014 00:00:00,0.0549
28/02/2014 00:00:00,0.7178
01/03/2014 00:00:00,1.9892
02/03/2014 00:00:00,2.0686
03/03/2014 00:00:00,2.1429
04/03/2014 00:00:00,2.0781
05/03/2014 00:00:00,1.7367
06/03/2014 00:00:00,2.0682
07/03/2014 00:00:00,2.1301
08/03/2014 00:00:00,2.2800
09/03/2014 00:00:00,2.1057
10/03/2014 00:00:00,2.1042
11/03/2014 00:00:00,1.8741
12/03/2014 00:00:00,1.9563
13/03/2014 00:00:00,2.1375
14/03/2014 00:00:00,1.3541
15/03/2014 00:00:00,0.0226
16/03/2014 00:00:00,-0.0005
17/03/2014 00:00:00,0.0199
18/03/2014 00:00:00,0.0454
19/03/2014 00:00:00,1.5121
20/03/2014 00:00:00,2.2075
21/03/2014 00:00:00,0.7085
22/03/2014 00:00:00,0.0662
23/03/2014 00:00:00,0.0505
24/03/2014 00:00:00,1.3722
25/03/2014 00:00:00,4.0720
26/03/2014 00:00:00,6.2790
27/03/2014 00:00:00,6.4753
28/03/2014 00:00:00,6.2348
29/03/2014 00:00:00,6.1828
30/03/2014 00:00:00,6.6070
31/03/2014 00:00:00,7.0357
01/04/2014 00:00:00,6.3473
02/04/2014 00:00:00,3.8656
03/04/2014 00:00:00,3.0913
04/04/2014 00:00:00,4.0719
05/04/2014 00:00:00,8.2851
06/04/2014 00:00:00,8.6183
07/04/2014 00:00:00,9.2113
08/04/2014 00:00:00,8.2725
09/04/2014 00:00:00,8.2239
10/04/2014 00:00:00,8.7756
11/04/2014 00:00:00,9.3240
12/04/2014 00:00:00,10.8322
13/04/2014 00:00:00,9.9433
14/04/2014 00:00:00,10.1729
15/04/2014 00:00:00,10.6359
16/04/2014 00:00:00,10.3133
17/04/2014 00:00:00,3.7932
18/04/2014 00:00:00,0.0298
19/04/2014 00:00:00,0.0514
20/04/2014 00:00:00,0.0522
21/04/2014 00:00:00,0.0689
22/04/2014 00:00:00,0.0401
23/04/2014 00:00:00,5.0332
24/04/2014 00:00:00,8.8295
25/04/2014 00:00:00,10.9433
26/04/2014 00:00:00,8.8938
27/04/2014 00:00:00,12.3546
28/04/2014 00:00:00,14.0112
29/04/2014 00:00:00,3.3697
30/04/2014 00:00:00,3.3247
01/05/2014 00:00:00,7.3097
02/05/2014 00:00:00,2.3885
03/05/2014 00:00:00,-0.0517
04/05/2014 00:00:00,0.0370
05/05/2014 00:00:00,5.6861
06/05/2014 00:00:00,11.6034
07/05/2014 00:00:00,12.6357
08/05/2014 00:00:00,13.7925
09/05/2014 00:00:00,13.0397
10/05/2014 00:00:00,10.0981
11/05/2014 00:00:00,9.9252
12/05/2014 00:00:00,10.6755
13/05/2014 00:00:00,11.1444
14/05/2014 00:00:00,10.2073
15/05/2014 00:00:00,8.7229
16/05/2014 00:00:00,9.0697
17/05/2014 00:00:00,8.6316
18/05/2014 00:00:00,7.9925
19/05/2014 00:00:00,8.7136
20/05/2014 00:00:00,9.9078
21/05/2014 00:00:00,10.8309
22/05/2014 00:00:00,10.3172
23/05/2014 00:00:00,9.8574
24/05/2014 00:00:00,10.4130
25/05/2014 00:00:00,9.6971
26/05/2014 00:00:00,8.9035
27/05/2014 00:00:00,-1.2498
28/05/2014 00:00:00,1.8544
29/05/2014 00:00:00,0.0574
30/05/2014 00:00:00,5.3689
31/05/2014 00:00:00,9.1640
01/06/2014 00:00:00,7.2274
02/06/2014 00:00:00,10.2698
03/06/2014 00:00:00,9.9610
04/06/2014 00:00:00,9.6091
05/06/2014 00:00:00,10.3868
06/06/2014 00:00:00,11.0738
07/06/2014 00:00:00,11.2983
08/06/2014 00:00:00,12.0569
09/06/2014 00:00:00,13.2825
10/06/2014 00:00:00,13.8428
11/06/2014 00:00:00,11.5795
12/06/2014 00:00:00,4.7927
13/06/2014 00:00:00,0.0000
14/06/2014 00:00:00,0.0000
15/06/2014 00:00:00,0.0000
