0,301187.91,6066466.93
1,301197.760970685,6066465.21000681
2,301207.61194137,6066463.49001363
3,301217.462912055,6066461.77002044
4,301227.31388274,6066460.05002726
5,301237.164853426,6066458.33003407
6,301247.015824111,6066456.61004088
7,301256.866794796,6066454.8900477
8,301266.717765481,6066453.17005451
9,301276.568736166,6066451.45006132
10,301286.419706851,6066449.73006814
11,301296.270677536,6066448.01007495
12,301306.121648221,6066446.29008176
13,301315.972618907,6066444.57008858
14,301325.823589592,6066442.85009539
15,301335.674560277,6066441.13010221
16,301345.525530962,6066439.41010902
17,301355.376501647,6066437.69011583
18,301365.227472332,6066435.97012265
19,301375.078443017,6066434.25012946
20,301384.929413702,6066432.53013627
21,301394.780384388,6066430.81014309
22,301404.631355073,6066429.0901499
23,301414.482325758,6066427.37015671
24,301424.333296443,6066425.65016353
25,301434.184267128,6066423.93017034
26,301444.035237813,6066422.21017716
27,301453.886208498,6066420.49018397
28,301463.737179183,6066418.77019078
29,301473.588149868,6066417.0501976
30,301483.439120554,6066415.33020441
31,301493.290091239,6066413.61021122
32,301503.141061924,6066411.89021804
33,301512.992032609,6066410.17022485
34,301522.843003294,6066408.45023167
35,301532.693973979,6066406.73023848
36,301542.544944664,6066405.01024529
37,301552.395915349,6066403.29025211
38,301562.246886035,6066401.57025892
39,301572.09785672,6066399.85026573
40,301581.948827405,6066398.13027255
41,301591.79979809,6066396.41027936
42,301601.650768775,6066394.69028618
43,301611.50173946,6066392.97029299
44,301621.352710145,6066391.2502998
45,301631.20368083,6066389.53030662
46,301641.054651516,6066387.81031343
47,301650.905622201,6066386.09032024
48,301660.756592886,6066384.37032706
49,301670.607563571,6066382.65033387
50,301680.458534256,6066380.93034069
51,301690.309504941,6066379.2103475
52,301700.160475626,6066377.49035431
53,301710.011446311,6066375.77036113
54,301719.862416997,6066374.05036794
55,301729.713387682,6066372.33037475
56,301739.564358367,6066370.61038157
57,301749.415329052,6066368.89038838
58,301759.266299737,6066367.17039519
59,301769.117270422,6066365.45040201
60,301778.968241107,6066363.73040882
61,301788.819211792,6066362.01041564
62,301798.670182477,6066360.29042245
63,301808.521153163,6066358.57042926
64,301818.372123848,6066356.85043608
65,301828.223094533,6066355.13044289
66,301838.074065218,6066353.4104497
67,301847.925035903,6066351.69045652
68,301857.776006588,6066349.97046333
69,301867.626977273,6066348.25047015
70,301877.477947958,6066346.53047696
71,301887.328918644,6066344.81048377
72,301897.179889329,6066343.09049059
73,301907.030860014,6066341.3704974
74,301916.881830699,6066339.65050421
