Variable,Site
H,A4261039
SAL,A4261039
TEMP,A4261039
TRACE_1,No Site
WQ_TRC_SS1,EPA2014_Hindmarsh_Island_Boggy_Creek_1
WQ_TRC_RET,No Site
WQ_OXY_OXY,EPA2014_Hindmarsh_Island_Hunters_Creek_6
WQ_SIL_RSI,EPA2014_Hindmarsh_Island_Boggy_Creek_1
WQ_NIT_AMM,EPA2014_Coorong_Ewe_Island_Barrage
WQ_NIT_NIT,EPA2014_Coorong_Ewe_Island_Barrage
WQ_PHS_FRP,EPA2014_Coorong_Ewe_Island_Barrage
WQ_PHS_FRP_ADS,EPA2014_Coorong_Murray_Mouth
WQ_OGM_DOC,EPA2014_Lake_Alexandrina_Clayton_east_of_regulator
WQ_OGM_POC,Lock1
WQ_OGM_DON,EPA2014_Coorong_Murray_Mouth
WQ_OGM_PON,EPA2014_Coorong_Murray_Mouth
WQ_OGM_DOP,EPA2014_Coorong_Murray_Mouth
WQ_OGM_POP,EPA2014_Coorong_Murray_Mouth
WQ_PHY_GRN,EPA2014_Coorong_Murray_Mouth
